iteration,t,rwd_sparse,rwd_dense,solved,ee_error,robot_error,objs_error,default
16,1.360000000000001,-0.4468486745030391,-0.614689041485825,0.0,0.2476196921677924,1.8127717090858253,0.4585046635244303,9.017477
17,1.440000000000001,-0.4468486745030391,-0.6029920197520781,0.0,0.23454606294025293,1.736083451225844,0.4585046635244303,8.978656
18,1.5200000000000011,-0.4468486745030391,-0.576788573517138,0.0,0.2566256393771584,1.7163671735815114,0.4585046635244303,8.77518
19,1.6000000000000012,-0.4468486745030391,-0.5653618737791528,0.0,0.2753835833209452,1.6408786865922118,0.4585046635244303,8.684848
20,1.6800000000000013,-0.44425011304135753,-0.5725643482240583,0.0,0.28673614677531356,1.540897459761471,0.45590610206274873,8.72596
21,1.7600000000000013,-0.38222892158768407,-0.5027952057865419,0.0,0.24751469926800837,1.476722117480895,0.39388491060907527,8.332705
22,1.8400000000000014,-0.34299992565112786,-0.46185948124903026,0.0,0.22237202712118906,1.416986956054812,0.35465591467251906,7.8052845
23,1.9200000000000015,-0.2933523178078639,0.087761090059157,0.0,0.1902489541490977,1.3229653316171934,0.30500830682925506,6.84166
24,2.0000000000000013,-0.24442026317801643,0.1342620110621431,0.0,0.1668610349160902,1.2235985209669507,0.2560762521994076,6.2769227
25,2.0799999999999925,-0.19505105636589778,0.18131716158129746,0.0,0.15848413699608319,1.1279208516395733,0.20670704538728896,5.3469763
26,2.1599999999999837,-0.14964978147439892,0.2242501344037376,0.0,0.16033239548206116,1.050390036463602,0.1613057704957901,4.5081043
27,2.239999999999975,-0.10440414865143385,0.7684088519101249,0.0,0.17068641798146364,0.9933762891119821,0.11606013767282503,4.227555
28,2.319999999999966,-0.065711263649219,0.8062746638996323,1.0,0.18649509399592276,0.9499956398340076,0.07736725267061018,3.9733505
29,2.3999999999999573,-0.0328218977845142,0.8388056599503046,1.0,0.20322098936972854,0.9290954623636117,0.044477886805905364,3.5996792
30,2.4799999999999485,-0.007573824023703855,0.864155936513553,1.0,0.2182176656882472,0.9370725949295716,0.017779514003765595,3.4800906
31,2.5599999999999397,-0.009690836401962976,0.8626361355970975,1.0,0.21807638460122072,0.9630225278791211,0.015662501625506475,3.5356493
32,2.639999999999931,-0.00944980570985352,0.864482281689084,1.0,0.21117726021635858,1.0722934375957032,0.021105794731244687,3.336445
33,2.719999999999922,-0.008138569839533902,0.8671165192024337,1.0,0.21122291634030216,1.1722871198230715,0.017214768187935547,3.3017302
34,2.7999999999999132,-0.017722563603762266,0.8613015172063055,1.0,0.1951619612126234,1.2804843157479278,0.02937855262515343,3.1857655
35,2.8799999999999044,-0.021853442669748847,0.8660416594730687,1.0,0.17385539067581113,1.3383250346321287,0.03350943169114001,2.9318154
36,2.9599999999998956,-0.023056482326508455,0.8711097798349804,1.0,0.16224356917083535,1.3243436929522803,0.03471247134789962,2.5689878
37,3.039999999999887,-0.023593364595007528,0.8770949492527719,1.0,0.14642688251842143,1.2974295552242172,0.03524935361639869,2.47058
38,3.119999999999878,-0.013896646370315268,0.885302815620873,1.0,0.1606263203828318,1.3866857231609415,0.025552635391706435,2.2741055
39,3.199999999999869,-0.009021575892921999,0.8893373243874633,1.0,0.17426914030065588,1.5235946853651121,0.016331762134547456,2.2196798
40,3.2799999999998604,-0.010008584772114729,0.8880482852171199,1.0,0.18119916983356693,1.5499367800415471,0.015344753255354726,2.1916602
41,3.3599999999998515,-0.00785183271227811,0.8917087700067788,1.0,0.17542762551125893,1.5300139307701537,0.019507821733669273,2.4524696
42,3.4399999999998427,-0.009882903856151683,0.8886237031347526,1.0,0.18409805197059684,1.629841442582843,0.01547043417131777,2.3587747
43,3.519999999999834,-0.01114633580784833,0.8860748518207444,1.0,0.1915721699658908,1.717085949155017,0.014207002219621123,2.1997178
44,3.599999999999825,-0.012576315427213861,0.8837563989605826,1.0,0.19796987789961296,1.824312568839367,0.012777022600255594,2.196309
45,3.6799999999998163,-0.01398086543701336,0.8817405145961913,1.0,0.20011892275974943,1.9446035990129262,0.011372472590456095,2.0693257
46,3.7599999999998075,-0.009492820016748874,0.8869608386886285,1.0,0.19550751422215526,2.082121201906313,0.01586051801072058,2.2176735
47,3.8399999999997987,-0.009148357067812071,0.8872333583856473,1.0,0.1944281399822459,2.2081315025459136,0.01620498095965739,2.3507087
48,3.91999999999979,-0.011988868511921866,0.88067748247255,1.0,0.20531930698315057,2.2882583952313333,0.013364469515547595,2.301198
49,3.999999999999781,-0.010132769698469754,0.8864610180426338,1.0,0.20034627644311578,2.3550141451866358,0.015220568328999706,2.366021
