iteration,t,rwd_sparse,rwd_dense,solved,ee_error,robot_error,objs_error,default
0,0.08000000000000006,-0.4468486745030391,-0.5806075188516331,0.0,0.57837214361859,2.569848038813336,0.4585046635244303,10.389797
1,0.16000000000000011,-0.4468486745030391,-0.58453193242414,0.0,0.5602867858645544,2.580108253918315,0.4585046635244303,10.070424
2,0.24000000000000019,-0.4468486745030391,-0.5975243976178698,0.0,0.5504269063112568,2.6382438897697402,0.4585046635244303,9.924533
3,0.32000000000000023,-0.4468486745030391,-0.5999822428754653,0.0,0.49267348402051947,2.5866794934945196,0.4585046635244303,9.304311
4,0.4000000000000003,-0.4468486745030391,-0.5988180056402423,0.0,0.4588503615420882,2.5084884538871592,0.4585046635244303,8.948251
5,0.48000000000000037,-0.4468486745030391,-0.5892092065666197,0.0,0.45113281680190653,2.4271251326951373,0.4585046635244303,9.003794
6,0.5600000000000004,-0.4468486745030391,-0.5781520896638541,0.0,0.4432632931825601,2.3296722867222024,0.4585046635244303,9.132147
7,0.6400000000000005,-0.4468486745030391,-0.5649680257310697,0.0,0.4549864434718155,2.280622988832831,0.4585046635244303,9.57922
8,0.7200000000000005,-0.4468486745030391,-0.5879091506230247,0.0,0.4084859627165755,2.247744946335777,0.4585046635244303,8.793755
9,0.8000000000000006,-0.4468486745030391,-0.5923607679679934,0.0,0.3853689053475406,2.1510124699658886,0.4585046635244303,8.581705
10,0.8800000000000007,-0.4468486745030391,-0.6039686134657547,0.0,0.3659772412913837,2.070096602781404,0.4585046635244303,8.433286
11,0.9600000000000007,-0.4468486745030391,-0.605639028730204,0.0,0.36100447007670994,2.035063894650397,0.4585046635244303,8.417159
12,1.0400000000000007,-0.4468486745030391,-0.6121762152878255,0.0,0.370889114668986,2.04252397979275,0.4585046635244303,8.3587885
13,1.1200000000000008,-0.4468486745030391,-0.622350397701507,0.0,0.33721243020967995,2.068468440402392,0.4585046635244303,8.004197
14,1.2000000000000008,-0.4468486745030391,-0.6215748796028249,0.0,0.3054638329249507,1.9944392120926115,0.4585046635244303,8.290943
15,1.280000000000001,-0.4468486745030391,-0.617828906263071,0.0,0.2725154157553411,1.9425334012241284,0.4585046635244303,8.761603
